Num,Type,Percent
1,control,98.2
2,control,95.1
3,control,93.1
4,control,91.3
5,control,91.9
6,control,86.5
7,control,87.7
8,control,88.3
9,control,94.7
10,control,97.2
11,control,95.7
12,control,99
13,control,97.4
14,control,94.3
15,control,98.9
16,control,98.8
17,control,89.9
18,control,92.3
19,control,98.7
20,control,89.4
21,control,100
22,control,95.8
23,control,98.6
24,control,93
25,minor,100
26,minor,90.8
27,minor,89.8
28,minor,89.6
29,minor,89.3
30,minor,77.1
31,minor,86.7
32,minor,91.4
33,minor,92.7
34,minor,96.4
35,minor,94.4
36,minor,98.3
37,minor,93.4
38,minor,96.8
39,minor,98.9
40,minor,98.9
41,minor,89
42,minor,97.6
43,minor,100
44,minor,85.6
45,minor,97.4
46,minor,94.4
47,minor,96.7
48,minor,91.1
49,major,95.8
50,major,98.3
51,major,89.1
52,major,90.1
53,major,87.5
54,major,88.3
55,major,91.4
56,major,92.6
57,major,94.4
58,major,97.2
59,major,89.6
60,major,97.3
61,major,96.6
62,major,94.6
63,major,100
64,major,100
65,major,82.4
66,major,91.4
67,major,98.7
68,major,93.4
69,major,95.6
70,major,90
71,major,97.8
72,major,90.2
