Num,Type,Time
1,control,549.1
2,control,504.4
3,control,407.5
4,control,431.2
5,control,379.1
6,control,418
7,control,411.3
8,control,495.5
9,control,543.2
10,control,556.3
11,control,520.6
12,control,489.7
13,control,460.3
14,control,727.3
15,control,640.6
16,control,672.1
17,control,500.7
18,control,736.7
19,control,750.1
20,control,651.4
21,control,589.6
22,control,501.2
23,control,803.2
24,control,548.2
25,minor,550.7
26,minor,494.5
27,minor,391.2
28,minor,402.1
29,minor,371.8
30,minor,442.6
31,minor,404
32,minor,454
33,minor,518.7
34,minor,547.6
35,minor,498.7
36,minor,508.9
37,minor,520.1
38,minor,636.2
39,minor,634.8
40,minor,628
41,minor,491.5
42,minor,719.2
43,minor,719
44,minor,734.1
45,minor,534.1
46,minor,507.4
47,minor,657.5
48,minor,522.1
49,major,495.4
50,major,510.3
51,major,381.7
52,major,375
53,major,400.6
54,major,404.6
55,major,401.2
56,major,464.3
57,major,495.4
58,major,563.7
59,major,488.5
60,major,485.5
61,major,527.1
62,major,649.6
63,major,685.7
64,major,651.4
65,major,527
66,major,620
67,major,734.5
68,major,685.4
69,major,544.8
70,major,535.8
71,major,657.7
72,major,535.5
